scenario,partition_id,partition,lambda,safe,first_violation,event_count,peak_prefill,peak_decode,minimum_link_headroom_mb_s,peak_memory_gb
homogeneous_control,random_05,10-5-14-10-7-10-12-12,0.007,True,,204,1,5,358.516848,32.63836
homogeneous_control,random_05,10-5-14-10-7-10-12-12,0.0075,True,,204,1,6,119.685981,33.53338
homogeneous_control,random_05,10-5-14-10-7-10-12-12,0.008,True,,204,1,6,119.797075,33.52666
homogeneous_control,random_05,10-5-14-10-7-10-12-12,0.0085,True,,204,1,6,120.032956,33.51322
homogeneous_control,random_05,10-5-14-10-7-10-12-12,0.009,True,,204,1,6,119.830963,33.52666
homogeneous_control,random_05,10-5-14-10-7-10-12-12,0.0095,False,network,166,1,6,-134.718641,33.51994
homogeneous_control,random_05,10-5-14-10-7-10-12-12,0.01,False,network,116,1,6,-104.795979,32.2339
homogeneous_control,random_05,10-5-14-10-7-10-12-12,0.0105,False,network,116,1,6,-104.795979,32.22046
homogeneous_control,random_05,10-5-14-10-7-10-12-12,0.011,False,network,104,1,6,-112.032912,32.34814
homogeneous_control,random_05,10-5-14-10-7-10-12-12,0.0115,False,network,102,1,6,-111.79799,32.34814
homogeneous_control,random_05,10-5-14-10-7-10-12-12,0.012,False,network,101,1,6,-111.677362,32.34814
homogeneous_control,random_05,10-5-14-10-7-10-12-12,0.0125,False,network,74,1,6,-107.115817,32.34142
homogeneous_control,random_05,10-5-14-10-7-10-12-12,0.013,False,network,74,1,6,-107.115817,32.34142
homogeneous_control,random_05,10-5-14-10-7-10-12-12,0.0135,False,network,73,1,6,-106.992345,32.34142
homogeneous_control,random_05,10-5-14-10-7-10-12-12,0.014,False,network,73,1,6,-106.992345,32.34142
homogeneous_control,random_05,10-5-14-10-7-10-12-12,0.0145,False,network,71,1,6,-106.760412,32.46238
homogeneous_control,random_05,10-5-14-10-7-10-12-12,0.015,False,network,68,1,6,-106.429294,32.45566
homogeneous_control,random_05,10-5-14-10-7-10-12-12,0.0155,False,network,68,1,6,-106.429294,32.45566
homogeneous_control,random_05,10-5-14-10-7-10-12-12,0.016,False,network,68,1,6,-106.429294,32.45566
